Time,Temperature,Humidity,Pressure (in Hg),Altitude (meters),Light (Raw value 0-1023),Light (qualitative descriptor
8/1/2014 17:27,80.82,36,29.93,-6.77,204,light
8/1/2014 17:57,82.18,36,29.94,-24.2,261,light
8/1/2014 18:27,88.7,36,29.95,-24.2,322,bright
8/1/2014 18:57,91.18,36,29.96,-31.37,293,light
8/1/2014 19:27,86.45,32,29.97,-45.32,86,dim
8/1/2014 19:57,78.69,32,29.96,-34.86,16,dim
8/1/2014 20:27,77.22,32,29.96,-38.96,1,dark
8/1/2014 20:57,74.07,32,29.97,-46.14,65,dim
8/1/2014 21:26,72.39,36,29.97,-48.19,137,light
8/1/2014 21:56,71.94,36,29.98,-52.29,151,light
8/1/2014 22:26,71.15,39,29.99,-60.29,149,light
8/1/2014 22:56,71.37,39,29.98,-58.23,151,light
8/1/2014 23:26,71.49,41,29.99,-59.47,146,light
8/1/2014 23:56,72.16,41,29.98,-55.16,150,light
8/2/2014 0:26,71.94,41,29.97,-46.75,0,dark
8/2/2014 0:55,72.16,41,29.97,-49.42,0,dark
8/2/2014 1:25,71.82,39,29.97,-41.83,0,dark
8/2/2014 1:55,72.05,39,29.96,-39.99,0,dark
8/2/2014 2:25,71.71,39,29.96,-39.58,0,dark
8/2/2014 2:55,72.16,39,29.97,-48.19,0,dark
8/2/2014 3:25,71.6,40,29.95,-24.4,0,dark
8/2/2014 3:55,71.94,40,29.94,-13.33,0,dark
8/2/2014 4:25,71.71,40,29.93,-11.28,0,dark
8/2/2014 4:55,71.6,40,29.94,-16.4,0,dark
8/2/2014 5:25,71.94,39,29.94,-16.4,0,dark
8/2/2014 5:55,71.37,39,29.95,-25.02,0,dark
8/2/2014 6:25,71.49,40,29.94,-17.63,0,dark
8/2/2014 6:55,72.27,40,29.95,-31.58,6,dark
8/2/2014 7:25,72.72,40,29.96,-38.34,22,dim
8/2/2014 7:55,73.18,40,29.96,-39.58,69,dim
8/2/2014 8:25,73.4,39,29.97,-51.26,72,dim
8/2/2014 8:55,73.62,39,29.98,-57,91,dim
8/2/2014 9:25,73.96,40,29.98,-58.03,131,light
8/2/2014 9:55,74.19,40,29.99,-61.11,116,light
8/2/2014 10:25,74.3,40,30,-72.59,36,dim
8/2/2014 10:55,74.52,40,30,-76.48,175,light
8/2/2014 11:25,75.2,40,30,-71.15,247,light
8/2/2014 11:55,75.54,40,30,-74.23,207,light
8/2/2014 12:25,75.76,39,30,-75.46,180,light
8/2/2014 12:55,76.21,39,30,-74.64,178,light
8/2/2014 13:25,76.1,39,30.01,-85.1,192,light
8/2/2014 13:55,76.44,39,30,-70.95,275,light
8/2/2014 14:25,75.99,39,29.99,-67.26,226,light
8/2/2014 14:55,76.44,39,29.98,-57,192,light
8/2/2014 15:25,76.1,39,29.97,-46.96,217,light
8/2/2014 15:55,76.66,39,29.97,-49.83,226,light
8/2/2014 16:25,76.66,39,29.96,-34.24,277,light
8/2/2014 16:55,76.44,39,29.96,-39.78,276,light
8/2/2014 17:25,76.66,37,29.97,-48.6,278,light
8/2/2014 17:55,76.89,37,29.96,-38.75,188,light
8/2/2014 18:25,76.77,38,29.96,-39.78,193,light
8/2/2014 18:55,76.89,38,29.97,-46.75,204,light
8/2/2014 19:25,76.66,39,29.98,-54.95,181,light
8/2/2014 19:55,76.55,39,29.99,-62.54,150,light
8/2/2014 20:25,76.32,39,29.99,-64.8,148,light
8/2/2014 20:55,76.21,39,30,-70.33,145,light
8/2/2014 21:25,74.19,39,30,-75.87,151,light
8/2/2014 21:55,73.4,39,30,-71.97,157,light
8/2/2014 22:25,72.84,38,30,-70.54,145,light
8/2/2014 22:55,73.06,38,30.01,-84.07,153,light
8/2/2014 23:25,72.72,38,30,-75.05,157,light
8/2/2014 23:55,72.61,38,29.99,-66.85,152,light
8/3/2014 0:25,72.95,38,29.98,-58.65,151,light
8/3/2014 0:55,72.61,38,29.99,-60.29,143,light
8/3/2014 1:25,72.5,39,29.99,-63.36,0,dark
8/3/2014 1:55,71.82,39,29.98,-58.44,0,dark
8/3/2014 2:25,72.05,39,29.98,-55.16,0,dark
8/3/2014 2:55,71.71,39,29.97,-51.47,0,dark
8/3/2014 3:25,71.49,39,29.96,-38.55,0,dark
8/3/2014 3:55,71.82,39,29.95,-28.91,0,dark
8/3/2014 4:25,71.94,39,29.96,-33.42,0,dark
8/3/2014 4:55,71.6,39,29.96,-35.06,0,dark
8/3/2014 5:25,71.37,39,29.97,-43.27,0,dark
8/3/2014 5:55,71.49,39,29.97,-46.34,0,dark
8/3/2014 6:25,71.71,40,29.99,-65,0,dark
8/3/2014 6:55,72.05,40,29.98,-59.47,0,dark
8/3/2014 7:25,72.61,40,30,-70.33,6,dark
8/3/2014 7:55,72.84,40,29.99,-62.34,9,dark
8/3/2014 8:25,72.95,39,30,-73.61,12,dim
8/3/2014 8:55,73.18,39,30,-68.69,26,dim
8/3/2014 9:25,73.4,39,30,-74.23,53,dim
8/3/2014 9:55,73.74,39,29.99,-68.49,124,light
8/3/2014 10:25,74.07,40,30.02,-91.86,162,light
8/3/2014 10:55,74.19,40,30.03,-99.25,132,light
8/3/2014 11:25,74.52,41,30.02,-90.02,165,light
8/3/2014 11:55,74.75,41,30.01,-81.61,219,light
8/3/2014 12:25,74.86,42,30.02,-88.79,95,dim
8/3/2014 12:55,75.09,42,30.02,-87.56,147,light
8/3/2014 13:25,75.43,39,30,-72.18,164,light
2165/165/165 165:165:85,75.2,40,29.96,-39.99,194,light
2165/165/165 165:165:85,75.2,43,29.97,-39.78,198,light
2165/165/165 165:165:85,75.31,44,29.96,-40.6,198,light
2165/165/165 165:165:85,75.31,44,29.97,-40.6,198,light
2165/165/165 165:165:85,75.31,44,29.96,-41.22,200,light
2165/165/165 165:165:85,75.31,43,29.96,-41.01,176,light
2165/165/165 165:165:85,75.31,44,29.96,-41.01,197,light
2165/165/165 165:165:85,75.2,44,29.97,-41.01,199,light
2165/165/165 165:165:85,75.2,44,29.97,-41.22,195,light
2165/165/165 165:165:85,75.31,43,29.97,-42.24,196,light
2165/165/165 165:165:85,75.31,44,29.97,-42.65,196,light
2165/165/165 165:165:85,75.2,44,29.97,-41.42,202,light
2165/165/165 165:165:85,75.2,44,29.97,-41.01,203,light
2165/165/165 165:165:85,75.2,44,29.97,-42.24,202,light
2165/165/165 165:165:85,75.2,44,29.97,-40.81,205,light
2165/165/165 165:165:85,75.2,43,29.97,-41.63,208,light
2165/165/165 165:165:85,75.2,43,29.97,-42.24,208,light
2165/165/165 165:165:85,75.2,44,29.97,-42.04,209,light
2165/165/165 165:165:85,75.2,43,29.97,-41.42,255,light
2165/165/165 165:165:85,75.2,44,29.97,-41.42,214,light
2165/165/165 165:165:85,75.2,44,29.97,-41.01,219,light
2165/165/165 165:165:85,75.09,44,29.97,-40.6,220,light
2165/165/165 165:165:85,74.64,45,29.97,-45.73,226,light
2165/165/165 165:165:85,74.52,45,29.97,-46.96,269,light
2165/165/165 165:165:85,74.52,45,29.97,-46.75,241,light
2165/165/165 165:165:85,74.41,43,29.97,-51.26,208,light
2165/165/165 165:165:85,74.3,45,29.97,-47.57,219,light
2165/165/165 165:165:85,74.41,45,29.97,-43.47,231,light
2165/165/165 165:165:85,74.64,44,29.96,-37.32,216,light
2165/165/165 165:165:85,73.51,43,29.96,-33.83,280,light
2165/165/165 165:165:85,73.51,42,29.95,-28.91,283,bright
2165/165/165 165:165:85,74.52,44,29.96,-32.4,227,light
2165/165/165 165:165:85,74.19,44,29.96,-33.42,305,bright
2165/165/165 165:165:85,74.07,45,29.96,-34.65,255,light
2165/165/165 165:165:85,74.19,40,29.98,-53.52,173,light
2165/165/165 165:165:85,74.41,43,29.98,-53.31,92,dim
2165/165/165 165:165:85,74.64,43,29.98,-54.34,22,dim
2165/165/165 165:165:85,73.51,43,29.97,-46.55,0,dark
2165/165/165 165:165:85,69.69,44,29.96,-36.09,0,dark
2165/165/165 165:165:85,69.24,44,29.96,-33.83,0,dark
2165/165/165 165:165:85,69.35,45,29.93,-11.48,0,dark
2165/165/165 165:165:85,70.59,42,29.94,-14.15,0,dark
2165/165/165 165:165:85,72.16,58,29.98,-50.44,0,dark
